ETS1,MYOZ1,6.0333
NFYC,CYP51A1,6.0333
NFATC1,GSK3B,6.0333
ELF2,RPL29,6.0333
ELK4,TOMM20,6.0333
GABPB2,C10orf137,6.0333
PRDM1,ST3GAL2,6.0333
NFYC,BRIP1,6.0333
EGR3,GNAQ,6.0333
MEF2C,COL27A1,6.0333
CREB3,KIAA0494,6.0333
NFYC,CNBP,6.0333
RREB1,SMARCA5,6.0333
GABPB2,SMC6,6.0333
NFYC,E2F1,6.0333
MEF2C,CCDC53,6.0333
BHLHB2,CEBPA,6.0333
RREB1,ATP5J,6.0333
GABPA,TMED10,6.0333
ELF1,TMEM50A,6.0333
NFKB1,GRM7,6.0333
RREB1,ZFAND2B,6.0333
NFYC,PRC1,6.0333
RUNX1,EMP1,6.0333
GTF2I,PRMT2,6.0333
ELF1,DNAJC13,6.0333
MEF2C,AFF3,6.0333
FOSB,AHR,6.0333
YY1,RPL34,6.0333
MYB,PLAA,6.0333
ELF2,NFAT5,6.0333
GABPB2,IL6R,6.0333
ELK4,BUD13,6.0333
MYB,ZC3H18,6.0333
GABPB2,HIPK1,6.0333
SMAD3,VAV3,6.0333
JUN,CTNND1,6.0333
ELK4,KLF2,6.0333
ELF2,ANKH,6.0333
TFDP1,EGR3,6.0333
REL,AXL,6.0333
TFDP1,LOC145853,6.0333
GTF2I,LPHN2,6.0333
ELF1,PTPRJ,6.0333
MEF2C,RCC2,6.0333
NFKB1,OSBPL9,6.0333
GABPA,HS3ST4,6.0333
ARNTL,PLAGL1,6.0333
SREBF1,ITGA6,6.0333
ELF1,EVL,6.0333
HMGA1,RNF168,6.0333
ELF1,FAM63B,6.0333
NFYC,ARHGEF10,6.0333
ELK4,TRIOBP,6.0333
ELF2,CENTG2,6.0333
TFAP4,ERGIC1,6.0333
ZEB1,NCK2,6.0333
JUND,YWHAZ,6.0333
ARNTL,FBXL20,6.0333
NFYC,WDR6,6.0333
GABPB2,TAF7,6.0333
ARNTL,WEE1,6.0333
EGR1,MED13L,6.0333
